"Part";"Value";"Device";"Package";"Description";"ALLIED_NUMBER";"ALLIED_PRICE-STOCK";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"RS_PART_NUMBER";"RS_PRICE-STOCK";
"R6";"Y174520K0000T9R";"Y174520K0000T9R";"RESM6032X279N";"Vishay SMR1DZ Series Metal Foil Fixed Resistor 20k +/-0.01% 0.16W +/-0.2ppm/C";"70067682";"https://www.alliedelec.com/vishayprecisionfoilinc-y174520k0000t9r/70067682/";"";"";"Vishay SMR1DZ Series Metal Foil Fixed Resistor 20k +/-0.01% 0.16W +/-0.2ppm/C";"2.79mm";"Vishay";"Y174520K0000T9R";"71-SMR1DZ20K000TST";"https://www.mouser.co.uk/ProductDetail/Vishay-Precision-Group-Foil-Resistors/Y174520K0000T9R?qs=DTo5u7NUXXFYsAqpdaWYtQ%3D%3D";"7637249P";"http://uk.rs-online.com/web/p/products/7637249P";
"R9";"ERJ-UP8F6200V";"ERJ-UP8F6200V";"RESC3116X70N";"Thick Film Resistors - SMD 1206 0.66W 1% 620ohm Anti-Sulfur AEC-Q200";"";"";"";"";"Thick Film Resistors - SMD 1206 0.66W 1% 620ohm Anti-Sulfur AEC-Q200";"0.7mm";"Panasonic";"ERJ-UP8F6200V";"667-ERJ-UP8F6200V";"https://www.mouser.co.uk/ProductDetail/Panasonic/ERJ-UP8F6200V?qs=gTYE2QTfZfQ%252BTsOVxw%252Bj1A%3D%3D";"";"";
"R10";"ERJ-UP8F6200V";"ERJ-UP8F6200V";"RESC3116X70N";"Thick Film Resistors - SMD 1206 0.66W 1% 620ohm Anti-Sulfur AEC-Q200";"";"";"";"";"Thick Film Resistors - SMD 1206 0.66W 1% 620ohm Anti-Sulfur AEC-Q200";"0.7mm";"Panasonic";"ERJ-UP8F6200V";"667-ERJ-UP8F6200V";"https://www.mouser.co.uk/ProductDetail/Panasonic/ERJ-UP8F6200V?qs=gTYE2QTfZfQ%252BTsOVxw%252Bj1A%3D%3D";"";"";
"TP1";"RCT-0C";"RCT-0C";"RCT-0C";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"";"";"RCT-0C";"https://www.arrow.com/en/products/rct-0c/te-connectivity";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"mm";"TE Connectivity";"RCT-0C";"279-RCT-0C";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-Holsworthy/RCT-0C?qs=ip69W3eHERWzZOsRKmFYAw%3D%3D";"";"";
"TP2";"RCT-0C";"RCT-0C";"RCT-0C";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"";"";"RCT-0C";"https://www.arrow.com/en/products/rct-0c/te-connectivity";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"mm";"TE Connectivity";"RCT-0C";"279-RCT-0C";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-Holsworthy/RCT-0C?qs=ip69W3eHERWzZOsRKmFYAw%3D%3D";"";"";
"TP3";"RCT-0C";"RCT-0C";"RCT-0C";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"";"";"RCT-0C";"https://www.arrow.com/en/products/rct-0c/te-connectivity";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"mm";"TE Connectivity";"RCT-0C";"279-RCT-0C";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-Holsworthy/RCT-0C?qs=ip69W3eHERWzZOsRKmFYAw%3D%3D";"";"";
"TP4";"RCT-0C";"RCT-0C";"RCT-0C";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"";"";"RCT-0C";"https://www.arrow.com/en/products/rct-0c/te-connectivity";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"mm";"TE Connectivity";"RCT-0C";"279-RCT-0C";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-Holsworthy/RCT-0C?qs=ip69W3eHERWzZOsRKmFYAw%3D%3D";"";"";
"TP5";"RCT-0C";"RCT-0C";"RCT-0C";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"";"";"RCT-0C";"https://www.arrow.com/en/products/rct-0c/te-connectivity";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"mm";"TE Connectivity";"RCT-0C";"279-RCT-0C";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-Holsworthy/RCT-0C?qs=ip69W3eHERWzZOsRKmFYAw%3D%3D";"";"";
"TP6";"RCT-0C";"RCT-0C";"RCT-0C";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"";"";"RCT-0C";"https://www.arrow.com/en/products/rct-0c/te-connectivity";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"mm";"TE Connectivity";"RCT-0C";"279-RCT-0C";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-Holsworthy/RCT-0C?qs=ip69W3eHERWzZOsRKmFYAw%3D%3D";"";"";
"TP7";"RCT-0C";"RCT-0C";"RCT-0C";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"";"";"RCT-0C";"https://www.arrow.com/en/products/rct-0c/te-connectivity";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"mm";"TE Connectivity";"RCT-0C";"279-RCT-0C";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-Holsworthy/RCT-0C?qs=ip69W3eHERWzZOsRKmFYAw%3D%3D";"";"";
"TP8";"RCT-0C";"RCT-0C";"RCT-0C";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"";"";"RCT-0C";"https://www.arrow.com/en/products/rct-0c/te-connectivity";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"mm";"TE Connectivity";"RCT-0C";"279-RCT-0C";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-Holsworthy/RCT-0C?qs=ip69W3eHERWzZOsRKmFYAw%3D%3D";"";"";
"TP9";"RCT-0C";"RCT-0C";"RCT-0C";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"";"";"RCT-0C";"https://www.arrow.com/en/products/rct-0c/te-connectivity";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"mm";"TE Connectivity";"RCT-0C";"279-RCT-0C";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-Holsworthy/RCT-0C?qs=ip69W3eHERWzZOsRKmFYAw%3D%3D";"";"";
"TP15";"RCT-0C";"RCT-0C";"RCT-0C";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"";"";"RCT-0C";"https://www.arrow.com/en/products/rct-0c/te-connectivity";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"mm";"TE Connectivity";"RCT-0C";"279-RCT-0C";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-Holsworthy/RCT-0C?qs=ip69W3eHERWzZOsRKmFYAw%3D%3D";"";"";
"TP16";"RCT-0C";"RCT-0C";"RCT-0C";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"";"";"RCT-0C";"https://www.arrow.com/en/products/rct-0c/te-connectivity";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"mm";"TE Connectivity";"RCT-0C";"279-RCT-0C";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-Holsworthy/RCT-0C?qs=ip69W3eHERWzZOsRKmFYAw%3D%3D";"";"";
"TP17";"RCT-0C";"RCT-0C";"RCT-0C";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"";"";"RCT-0C";"https://www.arrow.com/en/products/rct-0c/te-connectivity";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"mm";"TE Connectivity";"RCT-0C";"279-RCT-0C";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-Holsworthy/RCT-0C?qs=ip69W3eHERWzZOsRKmFYAw%3D%3D";"";"";
"TP18";"RCT-0C";"RCT-0C";"RCT-0C";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"";"";"RCT-0C";"https://www.arrow.com/en/products/rct-0c/te-connectivity";"TE CONNECTIVITY / CGS - RCT-0C - TEST POINT, 0805 CASE SIZE";"mm";"TE Connectivity";"RCT-0C";"279-RCT-0C";"https://www.mouser.co.uk/ProductDetail/TE-Connectivity-Holsworthy/RCT-0C?qs=ip69W3eHERWzZOsRKmFYAw%3D%3D";"";"";
